	1	2	3	4	Total_generate	generation_growth
1	0.0	114.26717343081076	346.1604012465914	569.0424979998803	741.3347368082193	1.6187019714826014
2	78.34949225168104	0.0	453.0822503419972	387.5795200047448	796.8921115317344	1.3176187652074483
3	272.6725134498244	144.2841540761382	0.0	58.17347674225204	899.9467462998676	0.42224720691793216
4	390.3127311067138	538.3407840247854	100.704094711279	0.0	1014.7954947468771	0.7587735696363758
Total_attract	1121.107223580706	1184.783303241579	1661.1967462998678	2076.78512716912	3452.969089386698	
attract_growth	0.59762347963479	0.6161464277920804	0.5718768725715482	0.5055891369133898		
